NACA 3313 Airfoil M=3.0% P=30.0% T=13.0%
  1.000000 -0.000000
  0.998479  0.000374
  0.993926  0.001487
  0.986365  0.003321
  0.975841  0.005841
  0.962412  0.009003
  0.946156  0.012752
  0.927167  0.017024
  0.905554  0.021748
  0.881443  0.026850
  0.854978  0.032250
  0.826313  0.037867
  0.795619  0.043618
  0.763082  0.049423
  0.728896  0.055199
  0.693270  0.060865
  0.656420  0.066341
  0.618572  0.071548
  0.579960  0.076410
  0.540822  0.080852
  0.501402  0.084800
  0.461947  0.088188
  0.422705  0.090952
  0.383924  0.093036
  0.345851  0.094392
  0.308727  0.094983
  0.271838  0.094574
  0.236139  0.092708
  0.202201  0.089460
  0.170275  0.084957
  0.140590  0.079348
  0.113355  0.072798
  0.088752  0.065488
  0.066939  0.057602
  0.048046  0.049324
  0.032175  0.040831
  0.019404  0.032284
  0.009784  0.023827
  0.003344  0.015574
  0.000088  0.007614
  0.000000  0.000000
  0.002995 -0.006999
  0.008968 -0.013137
  0.017846 -0.018428
  0.029540 -0.022895
  0.043945 -0.026572
  0.060948 -0.029505
  0.080421 -0.031749
  0.102231 -0.033370
  0.126239 -0.034447
  0.152303 -0.035067
  0.180277 -0.035328
  0.210013 -0.035338
  0.241362 -0.035209
  0.274171 -0.035060
  0.308589 -0.034992
  0.345132 -0.034646
  0.382630 -0.033885
  0.420860 -0.032768
  0.459594 -0.031353
  0.498598 -0.029698
  0.537637 -0.027860
  0.576475 -0.025888
  0.614873 -0.023832
  0.652597 -0.021730
  0.689413 -0.019618
  0.725094 -0.017524
  0.759417 -0.015474
  0.792166 -0.013487
  0.823135 -0.011581
  0.852129 -0.009771
  0.878963 -0.008071
  0.903463 -0.006495
  0.925473 -0.005058
  0.944850 -0.003773
  0.961467 -0.002656
  0.975216 -0.001719
  0.986004 -0.000976
  0.993762 -0.000437
  0.998438 -0.000110
  1.000000  0.000000
